web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,type_,adresse
"1751407373-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Prix sur demande","Chaussures enfant","Guédiawaye, Dakar, Sénégal"
"1751407381-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022","Prix sur demande","Chaussures enfant","Guédiawaye, Dakar, Sénégal"
"1751407389-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-781661","Prix sur demande","Claquettes  enfants","Sénégal"
"1751407397-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792038","Prix sur demande","Chaussures enfant","Point E, Dakar, Sénégal"
"1751407404-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792041","Prix sur demande","Chaussures enfant","Point E, Dakar, Sénégal"
"1751407414-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792044","Prix sur demande","Chaussures enfant","Point E, Dakar, Sénégal"
"1751407422-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792099","Prix sur demande","Chaussures enfant","Point E, Dakar, Sénégal"
"1751407436-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792468","4 000 CFA","Chaussures enfant","Sénégal"
"1751407444-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-796879","Prix sur demande","Chaussures enfant","Fann, Dakar, Sénégal"
"1751407452-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796881","Prix sur demande","Chaussures enfants","Fann, Dakar, Sénégal"
