web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,type_,adresse
"1751406487-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-de-ville-2353037","30 000 CFA","Chaussures de ville","Dakar, Sénégal"
"1751406497-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-montantes-2353039","30 000 CFA","Chaussures montantes","Dakar, Sénégal"
"1751406523-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-weston-2353042","25 000 CFA","Chaussures Weston","Dakar, Sénégal"
"1751406673-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-jordan-retro-4-2353599","Prix sur demande","Baskets Jordan Rétro 4","Dakar, Sénégal"
"1751406682-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-all-star-converse-2353603","Prix sur demande","Chaussures All Star Converse","Dakar, Sénégal"
"1751406691-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-2354906","7 000 CFA","Sandales","Dakar, Sénégal"
"1751406706-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-de-ville-2354919","25 000 CFA","Chaussures de ville","Dakar, Sénégal"
"1751406721-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-de-ville-2354921","25 000 CFA","Chaussures de ville","Dakar, Sénégal"
"1751406733-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-2354931","20 000 CFA","Chaussures Nike","Dakar, Sénégal"
"1751406745-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2354934","15 000 CFA","Chaussures Sebago","Dakar, Sénégal"
"1751406756-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-sebago-2354935","15 000 CFA","Chaussures Sebago","Dakar, Sénégal"
"1751406771-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-all-star-2354936","15 000 CFA","Chaussures All Star","Dakar, Sénégal"
"1751406783-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-adidas-2354988","25 000 CFA","Baskets Adidas","Dakar, Sénégal"
"1751406792-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-puma-2354990","20 000 CFA","Baskets Puma","Dakar, Sénégal"
"1751406802-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-nike-2355016","20 000 CFA","Baskets Nike","Dakar, Sénégal"
"1751406817-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-adidas-2355023","20 000 CFA","Baskets Adidas","Dakar, Sénégal"
"1751406829-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-jordan-2355481","30 000 CFA","Baskets Jordan","Dakar, Sénégal"
"1751406841-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-adidas-2355485","25 000 CFA","Baskets Adidas","Dakar, Sénégal"
"1751406851-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-adidas-2355487","25 000 CFA","Baskets Adidas","Dakar, Sénégal"
"1751406863-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-jordan-2355492","25 000 CFA","Baskets Jordan","Dakar, Sénégal"
"1751406871-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-jordan-2355497","25 000 CFA","Chaussures Jordan","Dakar, Sénégal"
"1751406883-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-jordan-one-2355501","25 000 CFA","Baskets Jordan One","Dakar, Sénégal"
