web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,type_,adresse
"1751409184-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-723992","25 000 CFA","Ensemble costume enfant","Dakar, Sénégal"
"1751409188-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costume-enfant-724000","25 000 CFA","Ensemble costume enfant","Dakar, Sénégal"
"1751409198-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-724043","10 000 CFA","Ensemble pour enfant","Dakar, Sénégal"
"1751409208-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724047","10 000 CFA","Tenue enfant","Dakar, Sénégal"
"1751409222-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724052","10 000 CFA","Tenue pour enfant","Dakar, Sénégal"
"1751409229-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724054","10 000 CFA","Tenue enfant","Dakar, Sénégal"
"1751409240-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724057","10 000 CFA","Tenue Enfant","Dakar, Sénégal"
"1751409279-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724060","10 000 CFA","Tenues enfant","Dakar, Sénégal"
"1751409291-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724072","10 000 CFA","Tenues enfant","Dakar, Sénégal"
"1751409298-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724081","10 000 CFA","Tenue pour enfant","Dakar, Sénégal"
"1751409309-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724091","10 000 CFA","Tenue pour enfant","Dakar, Sénégal"
"1751409317-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724102","10 000 CFA","Tenue pour enfant","Dakar, Sénégal"
"1751409327-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724109","10 000 CFA","Tenue pour enfant","Dakar, Sénégal"
"1751409339-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724113","10 000 CFA","Tenue enfant","Dakar, Sénégal"
"1751409365-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724115","10 000 CFA","Tenue enfant","Dakar, Sénégal"
"1751409374-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724122","10 000 CFA","Tenue pour enfant","Dakar, Sénégal"
"1751409379-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724128","10 000 CFA","Tenue enfant","Dakar, Sénégal"
"1751409388-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724130","10 000 CFA","Tenue enfant","Dakar, Sénégal"
"1751409395-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724135","10 000 CFA","Tenue pour enfant","Dakar, Sénégal"
"1751409403-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724138","10 000 CFA","Tenue pour enfant","Dakar, Sénégal"
"1751409411-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724143","10 000 CFA","Tenue enfant","Dakar, Sénégal"
"1751409420-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724146","10 000 CFA","Tenue enfant","Dakar, Sénégal"
"1751409429-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/abaya-enfant-speciale-tabaski-725848","Prix sur demande","Abaya enfant Spéciale Tabaski","Les Parcelles Assainies, Dakar, Sénégal"
"1751409440-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/abaya-enfant-2-ans-5-ans-727626","18 000 CFA","Abaya enfant 2 ans - 5 ans","Les Parcelles Assainies, Dakar, Sénégal"
"1751409449-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-735207","20 000 CFA","Costume enfant","Médina, Dakar, Sénégal"
"1751409457-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/couches-et-vetements-enfants-735868","8 000 CFA","Couches et vêtements enfants","Ngor, Dakar, Sénégal"
"1751409466-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-enfant-739801","35 000 CFA","Robe pour enfant","Dieuppeul-Derklé, Dakar, Sénégal"
