web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,type_,adresse
"1751406456-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensembles-homme-2154094","13 000 CFA","Ensembles homme","Dakar Plateau, Dakar, Sénégal"
"1751406464-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-2154107","8 500 CFA","Pantalon","Dakar Plateau, Dakar, Sénégal"
"1751406476-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-2154114","8 500 CFA","Pantalon","Dakar Plateau, Dakar, Sénégal"
"1751406488-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/costumes-african-homme-et-femme-2154441","30 000 CFA","Costumes african homme et femme","Yoff, Dakar, Sénégal"
"1751406499-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/jallabe-2154456","10 000 CFA","Jallabé","Dakar, Sénégal"
"1751406525-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/jallabe-2154460","10 000 CFA","Jallabé","Dakar, Sénégal"
"1751406671-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155043","14 000 CFA","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406680-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155047","14 000 CFA","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406687-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155049","13 000 CFA","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406697-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155057","13 000 CFA","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406707-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155062","13 000 CFA","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406719-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155067","13 000 CFA","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406730-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-2155080","8 500 CFA","Pantalon homme","Dakar Plateau, Dakar, Sénégal"
"1751406739-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-2155083","8 500 CFA","Pantalon homme","Dakar Plateau, Dakar, Sénégal"
"1751406748-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155087","Prix sur demande","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406757-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155088","Prix sur demande","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406768-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155090","Prix sur demande","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406779-18","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2155093","Prix sur demande","Ensemble homme","Dakar Plateau, Dakar, Sénégal"
"1751406787-19","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-2155114","4 500 CFA","Polo Lacoste","Dakar Plateau, Dakar, Sénégal"
"1751406794-20","https://sn.coinafrique.com/categorie/vetements-homme?page=119","favorite_border5années","https://sn.coinafrique.com/annonce/vetements-homme/vetement-mixte-2157102","Prix sur demande","Vêtement mixte","Grand Yoff, Dakar, Sénégal"
